country;code;pigeon_per_capita;cat_per_capita;dog_per_capita
Argentina;ARG;0.545239884;0.069790672;0.200648181
Australia;AUS;0.556090515;0.144583673;0.27179
Brazil;BRA;0.70484613;0.061086781;0.281938988
Chile;CHL;0.503526676;0.035246905;0.19998
China;CHN;0.141233353;0.037497352;0.040957559
Egypt;EGY;0.253451171;0.02112093;0.048155722
France;FRA;0.450107098;0.223553206;0.114027138
Germany;DEU;0.416294603;0.180790745;0.124888344
India;IND;0.273249143;0.006831208;0.025207233
Indonesia;IDN;0.279993189;0.008749794;0.031499234
Iran;IRN;0.162306605;0.021640876;0.022722925
Italy;ITA;0.591753392;0.177525898;0.148208764
Japan;JPN;0.406162364;0.077983477;0.055238296
Mexico;MEX;0.530516443;0.053051604;0.136418514
Morocco;MAR;0.390312242;0.026020796;0.031224979
Nigeria;NGA;0.25260203;0.01263009;0.006315051
Pakistan;PAK;0.313455606;0.019590941;0.01567278
Philippines;PHL;0.513755979;0.008562597;0.175533236
Russia;RUS;0.694457017;0.160767238;0.121877206
South Africa;ZAF;0.386116373;0.013900194;0.114290447
South Korea;KOR;0.580641089;0.038709428;0.067741498
Thailand;THA;0.41887821;0.041887799;0.258308096
Turkey;TUR;0.45617615;0.027370577;0.016570604
United Kingdom;GBR;0.575114794;0.175410093;0.168221155
United States;USA;0.719888904;0.213691703;0.259159861
Vietnam;VNM;0.295279872;0.006889832;0.019685233
Uzbekistan;UZB;0.313455606;0.019590941;0.01567278
Madagascar;MDG;0.386116373;0.013900194;0.114290447
Senegal;SEN;0.390312242;0.026020796;0.031224979
Republic of the Congo;COG;0.25260203;0.01263009;0.006315051
Zambia;ZMB;0.386116373;0.013900194;0.114290447
Algeria;DZA;0.390312242;0.026020796;0.031224979
Nepal;NPL;0.273249143;0.006831208;0.025207233
Burkina Faso;BFA;0.390312242;0.026020796;0.031224979
Mozambique;MOZ;0.386116373;0.013900194;0.114290447
Ecuador;ECU;0.70484613;0.061086781;0.281938988
Greece;GRC;0.45617615;0.027370577;0.016570604
North Korea;PRK;0.580641089;0.038709428;0.067741498
Guatemala;GTM;0.530516443;0.053051604;0.136418514
Guinea;GIN;0.25260203;0.01263009;0.006315051
Israel;ISR;0.253451171;0.02112093;0.048155722
Ukraine;UKR;0.45617615;0.027370577;0.016570604
Venezuela;VEN;0.70484613;0.061086781;0.281938988
Benin;BEN;0.25260203;0.01263009;0.006315051
Bangladesh;BGD;0.273249143;0.006831208;0.025207233
Russia;RUS;0.45617615;0.027370577;0.016570604
Angola;AGO;0.25260203;0.01263009;0.006315051
Colombia;COL;0.70484613;0.061086781;0.281938988
Peru;PER;0.503526676;0.035246905;0.19998
Taiwan;TWN;0.141233353;0.037497352;0.040957559
Malaysia;MYS;0.279993189;0.008749794;0.031499234
Tanzania;TZA;0.386116373;0.013900194;0.114290447
Saudi Arabia;SAU;0.45617615;0.027370577;0.016570604
Sudan;SDN;0.45617615;0.027370577;0.016570604
Ethiopia;ETH;0.45617615;0.027370577;0.016570604
Ivory Coast;CIV;0.25260203;0.01263009;0.006315051
Jordan;JOR;0.45617615;0.027370577;0.016570604
Iraq;IRQ;0.45617615;0.027370577;0.016570604
Kenya;KEN;0.45617615;0.027370577;0.016570604
Afghanistan;AFG;0.273249143;0.006831208;0.025207233
Myanmar;MMR;0.41887821;0.041887799;0.258308096
Ghana;GHA;0.25260203;0.01263009;0.006315051
Spain;ESP;0.591753392;0.177525898;0.148208764
Canada;CAN;0.719888904;0.213691703;0.259159861
United Arab Emirates;ARE;0.45617615;0.027370577;0.016570604
Sri Lanka;LKA;0.273249143;0.006831208;0.025207233
Cameroon;CMR;0.25260203;0.01263009;0.006315051
Singapore;SGP;0.279993189;0.008749794;0.031499234
Uganda;UGA;0.45617615;0.027370577;0.016570604
Hong Kong;HKG;0.141233353;0.037497352;0.040957559
Dominican Republic;DOM;0.530516443;0.053051604;0.136418514
Somalia;SOM;0.45617615;0.027370577;0.016570604
Syria;SYR;0.45617615;0.027370577;0.016570604
Kuwait;KWT;0.45617615;0.027370577;0.016570604
Mali;MLI;0.25260203;0.01263009;0.006315051
Yemen;YEM;0.45617615;0.027370577;0.016570604
Congo;COD;0.25260203;0.01263009;0.006315051
Austria;AUT;0.416294603;0.180790745;0.124888344
Belgium;BEL;0.450107098;0.223553206;0.114027138
Bolivia;BOL;0.70484613;0.061086781;0.281938988
Cap-Verde;CPV;0.390312242;0.026020796;0.031224979
Centrafrican republic;CAF;0.25260203;0.01263009;0.006315051
Cambodge;KHM;0.295279872;0.006889832;0.019685233
Qatar;QAT;0.162306605;0.021640876;0.022722925
Costa Rica;CRI;0.530516443;0.053051604;0.136418514
Tcheque republic;CZE;0.416294603;0.180790745;0.124888344
Danemark;DNK;0.416294603;0.180790745;0.124888344
Djibouti;DJI;0.253451171;0.02112093;0.048155722
Finland;FIN;0.694457017;0.160767238;0.121877206
Hungary;HUN;0.416294603;0.180790745;0.124888344
Irland;IRL;0.575114794;0.175410093;0.168221155
Jamaic;JAM;0.530516443;0.053051604;0.136418514
Luxemburg;LUX;0.450107098;0.223553206;0.114027138
Tunisia;TUN;0.253451171;0.02112093;0.048155722
Suisse;CHE;0.450107098;0.223553206;0.114027138
Sweden;SWE;0.416294603;0.180790745;0.124888344
Portugal;PRT;0.450107098;0.223553206;0.114027138
New-Zealand;NZL;0.556090515;0.144583673;0.27179
Netherland;NLD;0.416294603;0.180790745;0.124888344
Norway;NOR;0.416294603;0.180790745;0.124888344
Kazakstan;KAZ;0.694457017;0.160767238;0.121877206
Liban;LBN;0.45617615;0.027370577;0.016570604
Roumania;ROU;0.416294603;0.180790745;0.124888344
Bielorussia;BLR;0.694457017;0.160767238;0.121877206
Pologne;POL;0.416294603;0.180790745;0.124888344
Liberia;LBR;0.25260203;0.01263009;0.006315051
Zimbabwe;ZWE;0.386116373;0.013900194;0.114290447
Paraguay;PRY;0.70484613;0.061086781;0.281938988
Serbia;SRB;0.45617615;0.027370577;0.016570604
Haiti;HTI;0.70484613;0.061086781;0.281938988
Malawi;MWI;0.386116373;0.013900194;0.114290447
Azebaďdjan;AZE;0.45617615;0.027370577;0.016570604
Rwanda;RWA;0.386116373;0.013900194;0.114290447
Lybie;LBY;0.253451171;0.02112093;0.048155722
Papousie New Guinea;PNG;0.556090515;0.144583673;0.27179
Uruguay;URY;0.545239884;0.069790672;0.200648181
Goergia;GEO;0.45617615;0.027370577;0.016570604
Bulgaria;BGR;0.45617615;0.027370577;0.016570604
Armnenia;ARM;0.45617615;0.027370577;0.016570604
